,gyr_time,gyrX,gyrY,gyrZ
70267,139.6421,-0.27856666,1.4801849,-0.52411014
70268,139.64405,-0.16618125,1.5334482,-0.57524282
70269,139.64606,-0.053795855,1.5558188,-0.61891866
70270,139.64805,0.060720075,1.5499598,-0.65780079
70271,139.65003,0.17150758,1.5180018,-0.69295454
70272,139.65198,0.28016454,1.4610102,-0.7275756
70273,139.654,0.38722363,1.3784522,-0.76166409
70274,139.65598,0.49854377,1.2729911,-0.79362202
70275,139.65796,0.60187441,1.1456919,-0.82398206
70276,139.65992,0.69987875,1.0056096,-0.84848315
70277,139.66193,0.79362202,0.85061365,-0.87458211
70278,139.66392,0.87458211,0.68389976,-0.89695269
70279,139.66593,0.94329166,0.50866377,-0.91612744
70280,139.66785,1.000816,0.33396041,-0.93370432
70281,139.66987,1.0450244,0.15446335,-0.94542223
70282,139.67185,1.0796455,-0.015978966,-0.95287907
70283,139.67383,1.0988203,-0.17736652,-0.95873803
70284,139.67579,1.1062771,-0.33129725,-0.96086854
70285,139.67777,1.1084076,-0.46871635,-0.9582054
70286,139.67978,1.1041466,-0.58855861,-0.95660746
70287,139.6818,1.0902982,-0.6854977,-0.95181382
70288,139.68372,1.0705907,-0.75740302,-0.94968325
70289,139.68574,1.0354371,-0.80800307,-0.94542223
70290,139.68772,0.99868542,-0.83463472,-0.94382429
70291,139.68973,0.9507485,-0.83942837,-0.94755274
70292,139.69166,0.88470215,-0.82238418,-0.95500958
70293,139.69364,0.8085357,-0.79042625,-0.96459699
70294,139.69562,0.71745563,-0.73876089,-0.98057592
70295,139.69761,0.61199445,-0.67218184,-1.0061423
70296,139.69956,0.49215218,-0.58962387,-1.0354371
70297,139.70154,0.35899413,-0.4958806,-1.0759171
70298,139.70356,0.21145499,-0.38882151,-1.1222562
70299,139.7056,0.053263225,-0.27909929,-1.180313
70300,139.70749,-0.11185277,-0.15925704,-1.2452941
70301,139.70948,-0.27803403,-0.041012682,-1.3156016
70302,139.71146,-0.4495416,0.070840083,-1.3923006
70303,139.71348,-0.61625546,0.17736652,-1.4769892
70304,139.71543,-0.77764302,0.26631612,-1.5595472
70305,139.71741,-0.92784536,0.34461305,-1.6431705
70306,139.7194,-1.0668623,0.4079963,-1.7299895
70307,139.72138,-1.190433,0.45486793,-1.816276
70308,139.72333,-1.3017532,0.48522797,-1.9046929
70309,139.72538,-1.3992249,0.4990764,-1.9920446
70310,139.72733,-1.4807175,0.4990764,-2.0772657
70311,139.72931,-1.5515577,0.48416269,-2.1619542
70312,139.73127,-1.6085494,0.45646581,-2.2487733
70313,139.73328,-1.6570189,0.41864893,-2.3371902
70314,139.7353,-1.6905746,0.37390783,-2.4319987
70315,139.73728,-1.7193369,0.32330775,-2.5236115
70316,139.73923,-1.7342505,0.26738137,-2.6189528
70317,139.74122,-1.7486316,0.21038973,-2.7164245
70318,139.74323,-1.7491642,0.15286545,-2.8202877
70319,139.74524,-1.7449032,0.093743272,-2.9241509
70320,139.7472,-1.7385116,0.039947417,-3.0360036
70321,139.74918,-1.7315874,-0.015446335,-3.1451933
70322,139.7512,-1.7156084,-0.061252706,-3.2597091
70323,139.75321,-1.7054884,-0.098536961,-3.3768883
70324,139.75516,-1.6943032,-0.12996227,-3.4951327
70325,139.75715,-1.6863136,-0.15606125,-3.6123118
70326,139.75913,-1.6729978,-0.17789917,-3.7278929
